Comment,Designator,Footprint,LCSC Part #
aht30,U17,AHT30,C45354925
ai-m62-cbs(blifn4),U11,AI-M62-CBS,C41368035
1uF 0805,"C97,C101",CAPC2013X145X50NL20T20,C20624294
100n 0201,"C10,C12,C13,C25,C26,C27,C28,C29,C30,C31,C37,C39,C40,C42,C43,C44,C45,C46,C47,C48,C49,C51,C52,C53,C54,C55,C56,C57,C58,C63,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C84,C85,C93,C94,C100",CAP_0201,C2903663
100n,"C5,C6,C7,C8,C23,C24,C32,C88,C92,C95,C109,C110",CAP_0402,C3012377
120pf,"C21,C22",CAP_0402,C7507400
12p,"C35,C36",CAP_0402,C106201
20p,"C33,C34,C98,C111,C112",CAP_0402,C107000
220n,"C103,C107",CAP_0402,C36911358
1uF 50V 1206,"C1,C104",FP-1206-L_3_2_0_2-W_1_6_0-IPC_B,C597503
ABS07-32.768KHZ-T,"Y1,Y3",FP-ABS07-MFG,C130253
BLM15AG102SN1D,FB4,FP-BLM15-0_05-IPC_B,C76883
BLM18AG121SN1D,"FB1,FB2,FB3",FP-BLM18-0_15-t0_8-IPC_B,C76892
DFE201612E-R47M=P2,"L1,L2,L3,L4,L5",FP-DFE201612C-IPC_C,C668312
DFE252012F-100M=P2,"L6,L7",FP-DFE252012C-IPC_B,C703141
TPS63802DLAR,"U5,U8,U10",FP-DLA0010A-MFG,C2845237
TPS62823DLCR,"U6,U7",FP-DLC0008A-MFG,C2693497
10uF GRM188R61A106ME69D,"C2,C3,C11,C15,C16,C19,C50,C90,C96,C99,C102,C105,C106",FP-GRM188-0_15-MFG,C5137565
1uF 0603,C86,FP-GRM188-0_15-MFG,C20070307
22uF GRM188R60J226MEA0J,"C14,C17,C18,C20,C87,C89",FP-GRM188-0_2-IPC_C,C6119880
DSK24,"D2,D7,D8",FP-S8-V-3910_01-001-MFG,C51898076
YLED0402B,D1,FP-SM0402GC-MFG,C25503856
SM05B-NSHSS-TB(LF)(SN),PR1,FP-SM05B-NSHSS-TB_LF_SN-MFG,C268096
DMG2301LK-7,Q1,FP-SOT23-IPC_B,C53283193
DMG2302UK-7,"Q2,Q4",FP-SOT23-MFG,C53283194
"PRTR5V0U2F,115","D3,D4,D5",FP-SOT886-MFG,C478118
10R,R68,FP-SR0603-MFG,C54920843
4R,R66,FP-SR0603-MFG,C49654665
XL7EL89CKI-111YLC-24M,Y2,FP-XRCGB_F_N-MFG,C2965580
S2B-PH-K-S(LF)(SN),"S1,S2,S3",JST-S2B-PH-K-S_V,C173752
k230d,U3,K230D,C42414902
54548-2271,"J4,J5",MOLX-54548-2271,C22459552
1.1k (1.5A),R5,RES_0402,C54920634
590R (1.5A),R7,RES_0402,C49653889
1.5k,R12,RES_0402,C54920638
100k,"R6,R19,R20,R23,R26,R27,R28,R30,R32,R35,R38,R45,R49,R51,R53,R58,R60,R61,R69,R76",RES_0402,C49652939
10k,"R2,R3,R10,R13,R16,R31,R34,R36,R39,R40,R41,R43,R44,R57,R64,R65,R67,R70",RES_0402,C22369472
120k,R29,RES_0402,C54920620
150k,R8,RES_0402,C54920625
200R,"R37,R62",RES_0402,C54920644
200k,R59,RES_0402,C22369550
22R,R42,RES_0402,C2929994
240R,"R33,R46,R47,R48",RES_0402,C22356255
261k,R56,RES_0402,C102933
30k,R63,RES_0402,C49653548
33.2k,R25,RES_0402,C53069467
4.7k,"R14,R15,R17,R18,R73,R74",RES_0402,C49652824
46.4k,R21,RES_0402,C103052
5.1k,"R1,R4,R9,R11",RES_0402,C22369457
511k,"R22,R50,R71,R72",RES_0402,C49655223
91k,"R24,R55",RES_0402,C54920709
BQ24072TRGTR,U1,RGT0016C_V,C129319
TPS61160ADRVT,"U14,U15",TPS61160ADRVT,C2867168
type-c-31-m-12,"USBC1,USBC2",TYPE-C-31-M-12,C165948
ch340x,U2,ch340x,C3035748
msm381acb026,U13,mems,C51928208
w25n02kvzeir,U16,w25n02,C3010298
