JLCPCB Basic parts (no loading fee on PCBA), fetched 2026-09-16 via the parts search API, componentLibraryType=base. 351 parts.
columns: LCSC# | MPN | brand | package | price@1 | price@100 USD | stock | description

== Bipolar (BJT) (11)
C8512      | MMBT2222A 1P               | Jiangsu Changjing  | SOT-23       | 0.0176 | 0.0176 |  582059 | -55℃~+150℃ 1 NPN 100 10nA 300MHz 300mW 40V 600mA 6V NPN SOT-23 Bipolar (BJT) ROHS
C20526     | MMBT3904(RANGE:100-300)    | Jiangsu Changjing  | SOT-23       | 0.0111 | 0.0111 |  278161 | -55℃~+150℃ 1 NPN 100 100nA 200mA 200mW 300MHz 300mV 40V 6V NPN SOT-23 Bipolar (BJT) ROHS
C8326      | MMBT5401(RANGE:200-300)    | Jiangsu Changjing  | SOT-23       | 0.0148 | 0.0148 |  733397 | -55℃~+150℃ 1 PNP 100MHz 100nA 150V 300 300mW 500mV 5V 600mA PNP SOT-23 Bipolar (BJT) ROHS
C2145      | MMBT5551(RANGE:200-300)    | Jiangsu Changjing  | SOT-23       | 0.0149 | 0.0149 | 1842012 | -55℃~+150℃ 1 NPN 160V 200 200mV 300MHz 300mW 50nA 600mA 6V NPN SOT-23 Bipolar (BJT) ROHS
C2146      | S8050 J3Y(RANGE:200-350)   | Jiangsu Changjing  | SOT-23       | 0.0145 | 0.0145 | 1232519 | -55℃~+150℃ 1 NPN 100nA 150MHz 200 25V 300mW 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C105432    | S8550(RANGE:120-200)       | Jiangsu Changjing  | SOT-23       | 0.0160 | 0.0160 |  255154 | -55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 5V 600mV PNP SOT-23 Bipolar (BJT) ROHS
C8543      | S9012 2T1(RANGE:200-350)   | Jiangsu Changjing  | SOT-23       | 0.0185 | 0.0185 |  238961 | -55℃~+150℃ 1 PNP 100nA 120 150MHz 25V 300mW 500mA 5V 600mV PNP SOT-23 Bipolar (BJT) ROHS
C6749      | S9013 J3(RANGE:200-350)    | Jiangsu Changjing  | SOT-23       | 0.0148 | 0.0148 |  841009 | -55℃~+150℃ 1 NPN 100nA 120 150MHz 25V 300mW 500mA 5V 600mV NPN SOT-23 Bipolar (BJT) ROHS
C2150      | SS8050(RANGE:200-350)      | Jiangsu Changjing  | SOT-23       | 0.0160 | 0.0160 | 1089464 | -55℃~+150℃ 1 NPN 1.5A 100MHz 100nA 200 25V 300mW 500mV 5V NPN SOT-23 Bipolar (BJT) ROHS
C8542      | SS8550 Y2(RANGE:200-350)   | Jiangsu Changjing  | SOT-23       | 0.0150 | 0.0150 |  820977 | -55℃~+150℃ 1 PNP 1.5A 100MHz 100nA 200 25V 300mW 500mV 5V PNP SOT-23 Bipolar (BJT) ROHS
C9634      | D882(RANGE:160-320)        | Jiangsu Changjing  | SOT-89-3L    | 0.0679 | 0.0572 |   92594 | -55℃~+150℃ 1 NPN 160 1uA 30V 3A 500mV 500mW 50MHz 6V NPN SOT-89-3L Bipolar (BJT) ROHS

== Bridge Rectifiers (1)
C2488      | MB10S-50MIL                | MDD(Microdiode Sem | MBS          | 0.0261 | 0.0261 |  778890 | -55℃~+150℃ 1.1V@400mA 1A 1kV 35A 5uA@1kV Single-Phase Rectifier MBS Bridge Rectifiers ROHS

== Chip Resistor - Surface Mount (182)
C17168     | 0402WGF0000TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0025 | 0.0025 | 11506539 | -55℃~+155℃ 0Ω 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25076     | 0402WGF1000TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0035 | 0.0035 | 3266613 | -55℃~+155℃ 100Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C11702     | 0402WGF1001TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0021 | 0.0021 | 11769609 | -55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25744     | 0402WGF1002TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0030 | 0.0030 | 27833513 | -55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25741     | 0402WGF1003TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0024 | 0.0024 | 11296591 | -55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C26083     | 0402WGF1004TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0023 | 0.0023 | 2689081 | -55℃~+155℃ 1MΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25077     | 0402WGF100JTCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0028 | 0.0028 | 2588228 | -55℃~+155℃ 10Ω 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25079     | 0402WGF1200TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0038 | 0.0038 | 1004004 | -55℃~+155℃ 120Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25752     | 0402WGF1202TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0035 | 0.0035 |  686422 | -55℃~+155℃ 12kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25867     | 0402WGF1501TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0028 | 0.0028 | 2485240 | -55℃~+155℃ 1.5kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25756     | 0402WGF1502TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0018 | 0.0018 | 1680819 | -55℃~+155℃ 15kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25087     | 0402WGF2000TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0028 | 0.0028 | 2969246 | -55℃~+155℃ 200Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C4109      | 0402WGF2001TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0031 | 0.0031 | 7815558 | -55℃~+155℃ 2kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25765     | 0402WGF2002TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0022 | 0.0022 | 1756833 | -55℃~+155℃ 20kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25764     | 0402WGF2003TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0019 | 0.0019 | 2016817 | -55℃~+155℃ 200kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25091     | 0402WGF2200TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0034 | 0.0034 | 1553057 | -55℃~+155℃ 220Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25879     | 0402WGF2201TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0038 | 0.0038 | 1223878 | -55℃~+155℃ 2.2kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25768     | 0402WGF2202TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0038 | 0.0038 |  854199 | -55℃~+155℃ 22kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25092     | 0402WGF220JTCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0028 | 0.0028 | 6486917 | -55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25104     | 0402WGF3300TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0040 | 0.0040 | 1510526 | -55℃~+155℃ 330Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25890     | 0402WGF3301TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0035 | 0.0035 | 2402680 | -55℃~+155℃ 3.3kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25779     | 0402WGF3302TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0089 | 0.0089 | 1404931 | -55℃~+155℃ 33kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25105     | 0402WGF330JTCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0039 | 0.0039 | 2021441 | -55℃~+155℃ 33Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25117     | 0402WGF4700TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0027 | 0.0027 | 1289539 | -55℃~+155℃ 470Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25900     | 0402WGF4701TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0028 | 0.0028 | 17899557 | -55℃~+155℃ 4.7kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25792     | 0402WGF4702TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0026 | 0.0026 | 6019599 | -55℃~+155℃ 47kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25120     | 0402WGF499JTCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0028 | 0.0028 | 1728109 | -55℃~+155℃ 49.9Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25123     | 0402WGF5100TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0017 | 0.0017 | 2724437 | -55℃~+155℃ 50V 510Ω 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25905     | 0402WGF5101TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0024 | 0.0024 | 7309528 | -55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C25794     | 0402WGF5102TCE             | UNI-ROYAL(Uniroyal | 0402         | 0.0018 | 0.0018 | 2233315 | -55℃~+155℃ 50V 51kΩ 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
C21189     | 0603WAF0000T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0025 | 0.0025 | 18730592 | -55℃~+155℃ 0Ω 100mW 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS
C22775     | 0603WAF1000T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0038 | 0.0038 | 12526703 | -55℃~+155℃ 100mW 100Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C21190     | 0603WAF1001T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0032 | 0.0032 | 24592135 | -55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C25804     | 0603WAF1002T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0026 | 0.0026 | 24353587 | -55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C25803     | 0603WAF1003T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0040 | 0.0040 | 23296641 | -55℃~+155℃ 100kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22935     | 0603WAF1004T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0023 | 0.0023 | 7556972 | -55℃~+155℃ 100mW 1MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C7250      | 0603WAF1005T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0021 | 0.0021 |  246526 | -55℃~+155℃ 100mW 10MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22859     | 0603WAF100JT5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0036 | 0.0036 | 8772359 | -55℃~+155℃ 100mW 10Ω 75V Thick Film Resistor ±1% ±400ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22936     | 0603WAF100KT5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0034 | 0.0034 |  720586 | -55℃~+155℃ 100mW 1Ω 75V Thick Film Resistor ±1% ±400ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22787     | 0603WAF1200T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0031 | 0.0031 | 2429594 | -55℃~+155℃ 100mW 120Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22765     | 0603WAF1201T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0042 | 0.0042 | 2233967 | -55℃~+155℃ 1.2kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22790     | 0603WAF1202T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0032 | 0.0032 | 1460673 | -55℃~+155℃ 100mW 12kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C25808     | 0603WAF1203T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0021 | 0.0021 |  659220 | -55℃~+155℃ 100mW 120kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22797     | 0603WAF1302T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0030 | 0.0030 |  508681 | -55℃~+155℃ 100mW 13kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22808     | 0603WAF1500T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0025 | 0.0025 |  807607 | -55℃~+155℃ 100mW 150Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22843     | 0603WAF1501T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0024 | 0.0024 | 3324309 | -55℃~+155℃ 1.5kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22809     | 0603WAF1502T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0029 | 0.0029 | 5117440 | -55℃~+155℃ 100mW 15kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C22807     | 0603WAF1503T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0066 | 0.0066 |  837724 | -55℃~+155℃ 100mW 150kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C4177      | 0603WAF1801T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0044 | 0.0044 |  490529 | -55℃~+155℃ 1.8kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
C25810     | 0603WAF1802T5E             | UNI-ROYAL(Uniroyal | 0603         | 0.0039 | 0.0039 | 1000604 | -55℃~+155℃ 100mW 18kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
