JLCPCB Basic & Promotional Extended parts: $0 feeder loading fee in Economic PCBA. Fetched 2026-09-16 via the parts API
(componentLibraryType=base + preferredComponentFlag=true + searchType=2). 1586 parts: 351 Basic, 1235 Promotional Extended.
columns: LCSC# | type | MPN | brand | package | price@1 | price@100 USD | stock | description

== 555 Timers / Counters (1)
C7593      | Promo | NE555DR                      | Texas Instruments  | SOIC-8         | 0.1171 | 0.0925 |  137647 | 0℃~+70℃ 10mA 4.5V~16V SOIC-8 555 Timers / Counters ROHS

== Accelerometers (1)
C24112     | Promo | MPU-6050                     | TDK InvenSense     | QFN-24-EP(4x4) | 18.2932 | 14.8866 |    7143 | -40℃~+85℃ 16bit 1KB 2.375V~3.46V 5uA Accelerometer Gyroscope I2C X,Y,Z X,Y,Z ±16g ±2000dps QFN-24-EP(4x4) Acce

== Analog Switches, Multiplexers (2)
C6521      | Promo | CD4052BM96                   | Texas Instruments  | SOIC-16        | 0.2683 | 0.2128 |   65546 | -55℃~+125℃ 125Ω 18pF 2 25MHz 320ns 3V~20V 4:1 SOIC-16 Analog Switches, Multiplexers ROHS
C21379     | Promo | CD4051BM96                   | Texas Instruments  | SOIC-16-150mil | 0.2484 | 0.1961 |   26976 | -55℃~+125℃ 1 125Ω 20MHz 30pF 3V~20V 60ns 8:1 SOIC-16-150mil Analog Switches, Multiplexers ROHS

== Battery Management (3)
C16581     | Promo | TP4056-42-ESOP8              | TOPPOWER(Nanjing E | ESOP-8         | 0.1777 | 0.1408 |   92833 | -40℃~+85℃ 1 1A 2uA 4.2V 4V~8V Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS
C32574     | Promo | TP4054-42-SOT25R             | TOPPOWER(Nanjing E | SOT-23-5       | 0.1267 | 0.1003 |   30267 | -40℃~+85℃ 1 4.2V 450mA 45uA 4V~9V Charging IC Lithium Battery Not supported Not supported SOT-23-5 Battery Man
C12044     | Promo | TP4057-42-SOT26-R            | TOPPOWER(Nanjing E | SOT-23-6       | 0.1359 | 0.1112 |   35513 | -40℃~+85℃ 1 4.2V 40uA 4V~9V 500mA Charging IC Lithium Battery Not supported Not supported SOT-23-6 Battery Man

== Bipolar (BJT) (90)
C41375111  | Promo | BCP51-16                     | hongjiacheng       | SOT-223        | 0.0715 | 0.0563 |     135 | 1 PNP 1.5W 100MHz 100nA 1A 250 45V 500mV 5V PNP SOT-223 Bipolar (BJT) ROHS
C41375110  | Promo | BCP53-16                     | hongjiacheng       | SOT-223        | 0.0808 | 0.0649 |   23004 | 1 PNP 1.5W 100MHz 100V 100nA 1A 250 500mV 5V PNP SOT-223 Bipolar (BJT) ROHS
C41376085  | Promo | BCP55-16                     | hongjiacheng       | SOT-223        | 0.0546 | 0.0480 |    8631 | 1 NPN 1.5W 100nA 130MHz 1A 25 500mV 5V 60V NPN SOT-223 Bipolar (BJT) ROHS
C41375109  | Promo | BCP56-16                     | hongjiacheng       | SOT-223        | 0.0790 | 0.0632 |   55302 | 1 NPN 1.33W 100nA 130MHz 1A 25 500mV 5V 80V NPN SOT-223 Bipolar (BJT) ROHS
C41375112  | Promo | FZT955                       | hongjiacheng       | SOT-223        | 0.1538 | 0.1195 |     890 | -55℃~+150℃ 1 PNP 110MHz 140V 300 370mV 3W 4A 50nA 6V PNP SOT-223 Bipolar (BJT) ROHS
C7420323   | Promo | 2SA812                       | hongjiacheng       | SOT-23         | 0.0121 | 0.0121 |   20728 | -55℃~+150℃ 1 PNP 100mA 100nA 180MHz 200mW 300mV 50V 5V 90 PNP SOT-23 Bipolar (BJT) ROHS
C7420324   | Promo | 2SC1623                      | hongjiacheng       | SOT-23         | 0.0113 | 0.0113 |  466833 | -55℃~+150℃ 1 NPN 100mA 100nA 135 200mW 250MHz 300mV 50V 5V NPN Standalone SOT-23 Bipolar (BJT) ROHS
C20069143  | Promo | 2SC1815                      | hongjiacheng       | SOT-23         | 0.0084 | 0.0084 |  294553 | -55℃~+150℃ 1 NPN 100nA 130 150mA 200mW 250mV 50V 5V 80MHz NPN SOT-23 Bipolar (BJT) ROHS
C41375131  | Promo | 2SC2412                      | hongjiacheng       | SOT-23         | 0.0134 | 0.0134 |   53266 | -55℃~+150℃ 1 NPN 100nA 150mA 180MHz 200mW 400mV 50V 560 7V NPN Standalone SOT-23 Bipolar (BJT) ROHS
C28646266  | Promo | 2SC3356                      | hongjiacheng       | SOT-23         | 0.0326 | 0.0326 |   26003 | -55℃~+150℃ 1 NPN 100mA 12V 1uA 200mW 250 300mV 3V 7GHz NPN Standalone SOT-23 Bipolar (BJT) ROHS
C41375129  | Promo | A1015                        | hongjiacheng       | SOT-23         | 0.0128 | 0.0128 |   74073 | -55℃~+150℃ 1 PNP 100nA 150mA 200mW 300mV 400 50V 5V 80MHz PNP SOT-23 Bipolar (BJT) ROHS
C41375133  | Promo | BC807-16                     | hongjiacheng       | SOT-23         | 0.0190 | 0.0190 |   16842 | -55℃~+150℃ 1 PNP 100MHz 100nA 250 300mW 45V 500mA 5V 700mV PNP SOT-23 Bipolar (BJT) ROHS
C20069142  | Promo | BC807-40                     | hongjiacheng       | SOT-23         | 0.0203 | 0.0203 |  160363 | -55℃~+150℃ 1 PNP 100MHz 100nA 300mW 40 45V 500mA 5V 700mV PNP SOT-23 Bipolar (BJT) ROHS
C20069132  | Promo | BC817-16                     | hongjiacheng       | SOT-23         | 0.0214 | 0.0214 |   52669 | -55℃~+150℃ 1 NPN 100 100MHz 100nA 300mW 45V 500mA 5V 700mV NPN SOT-23 Bipolar (BJT) ROHS
C20069154  | Promo | BC817-25                     | hongjiacheng       | SOT-23         | 0.0207 | 0.0207 |   40534 | -55℃~+150℃ 1 NPN 100 100MHz 100nA 300mW 45V 500mA 5V 700mV NPN SOT-23 Bipolar (BJT) ROHS
C20069155  | Promo | BC817-40                     | hongjiacheng       | SOT-23         | 0.0185 | 0.0185 |  399534 | -55℃~+150℃ 1 NPN 100 100MHz 100nA 300mW 45V 500mA 5V 700mV NPN SOT-23 Bipolar (BJT) ROHS
C20069134  | Promo | BC846B                       | hongjiacheng       | SOT-23         | 0.0123 | 0.0123 |  501147 | -55℃~+150℃ 1 NPN 100MHz 100mA 100nA 200 200mW 500mV 65V 6V NPN SOT-23 Bipolar (BJT) ROHS
C20069135  | Promo | BC847B                       | hongjiacheng       | SOT-23         | 0.0134 | 0.0134 |  134932 | -55℃~+150℃ 1 NPN 100MHz 100mA 100nA 200 200mW 45V 500mV 6V NPN SOT-23 Bipolar (BJT) ROHS
C7420337   | Promo | BC847C                       | hongjiacheng       | SOT-23         | 0.0121 | 0.0121 |  486576 | -55℃~+150℃ 1 NPN 100MHz 100mA 100nA 200mW 420 45V 500mV 6V NPN SOT-23 Bipolar (BJT) ROHS
C20069136  | Promo | BC856B                       | hongjiacheng       | SOT-23         | 0.0125 | 0.0125 |   40145 | -55℃~+150℃ 1 PNP 100MHz 100mA 100nA 200mW 220 500mV 5V 65V PNP SOT-23 Bipolar (BJT) ROHS
C20069137  | Promo | BC857C                       | hongjiacheng       | SOT-23         | 0.0135 | 0.0135 |   97671 | -55℃~+150℃ 1 PNP 100MHz 100mA 100nA 200mW 420 45V 500mV 5V PNP SOT-23 Bipolar (BJT) ROHS
C41375128  | Promo | FMMT491                      | hongjiacheng       | SOT-23         | 0.0461 | 0.0367 |   29261 | 1 NPN 100nA 150MHz 1A 250mW 300 500mV 5V 60V NPN Standalone SOT-23 Bipolar (BJT) ROHS
C28646275  | Promo | FMMT493                      | hongjiacheng       | SOT-23         | 0.0585 | 0.0466 |   68843 | -55℃~+150℃ 1 NPN 100 100V 100nA 150MHz 1A 250mW 5V 600mV NPN Standalone SOT-23 Bipolar (BJT) ROHS
C41375132  | Promo | FMMT591                      | hongjiacheng       | SOT-23         | 0.0402 | 0.0320 |   27538 | -55℃~+150℃ 1 PNP 100nA 150MHz 1A 250mW 300 5V 600mV 60V PNP SOT-23 Bipolar (BJT) ROHS
