LCSC Part Number,Quantity
C2757850,1
C41368035,1
C28323,2
C2903663,53
C307331,12
C1546,2
C1547,2
C1554,5
C16772,2
C22466352,3
C22459552,2
C1848,2
C32346,2
C14709,4
C668312,5
C703141,2
C2845237,3
C2693497,2
C19702,13
C696901,1
C59461,6
C2286,1
C15127,1
C20917,2
C478118,3
C322191,1
C23214,1
C2965580,1
C157932,3
C42414902,1
C25867,2
C25741,20
C25744,18
C25750,1
C26083,2
C11702,1
C25087,2
C25764,1
C25765,1
C25092,1
C324768,4
C49653548,1
C25779,1
C25900,6
C25792,1
C25905,4
C49655223,2
C25794,1
C54920709,2
C129319,1
C165143,2
C165948,2
C3035748,1
C51928208,1
C17626844,1
