LCSC Part Number,Quantity
C2757850,1
C41368035,1
C28323,3
C2903663,64
C307331,15
C1546,3
C1547,3
C1554,6
C16772,3
C22466352,3
C22459552,2
C1848,3
C32346,2
C14709,5
C668312,5
C703141,2
C2845237,3
C2693497,2
C19702,16
C696901,2
C59461,8
C2286,1
C15127,1
C20917,2
C478118,3
C22769,2
C23157,2
C2965580,1
C157932,3
C42414902,1
C25867,3
C25741,24
C25744,22
C25750,2
C26083,3
C11702,2
C25087,3
C25764,2
C25765,2
C25092,2
C324768,5
C49653548,2
C25779,2
C25900,8
C25792,2
C25905,5
C49655223,3
C25794,2
C54920709,3
C129319,1
C165143,2
C165948,2
C3035748,1
C51928208,1
C17626844,1
C3646951,10
C19185834,10
