Designator,Mid X,Mid Y,Layer,Rotation
CB2,37.9339mm,11.3947mm,Bottom,180
CB1,34.3188mm,10.7482mm,Bottom,180
LED15,20.5000mm,36.0000mm,Top,270
LED13,20.5000mm,31.0013mm,Top,90
LED11,14.5000mm,36.0000mm,Top,270
LED9,14.5000mm,31.0013mm,Top,90
LED7,8.5000mm,36.0000mm,Top,270
LED5,8.5000mm,31.0013mm,Top,90
LED3,2.5000mm,36.0000mm,Top,270
LED2,2.5000mm,31.0013mm,Top,90
LED16,2.5000mm,58.0000mm,Top,90
LED14,20.5000mm,58.0000mm,Top,90
LED12,20.5000mm,63.0013mm,Top,90
LED10,14.5000mm,58.0000mm,Top,90
LED8,14.5000mm,63.0013mm,Top,90
LED6,8.5000mm,58.0000mm,Top,90
LED4,8.5000mm,63.0013mm,Top,90
LED1,2.5000mm,63.0013mm,Top,90
RD2,53.7129mm,7.0096mm,Bottom,180
RD1,51.9071mm,11.7367mm,Top,90
RBT1,39.1356mm,38.3523mm,Bottom,90
R52,40.4939mm,35.0026mm,Bottom,270
C9,40.2663mm,31.8726mm,Bottom,180
C4,40.7806mm,33.0997mm,Bottom,0
RB4,29.8769mm,32.5158mm,Top,90
RB3,32.0250mm,30.4687mm,Top,90
RB2,54.4939mm,10.9964mm,Top,90
RB1,54.5105mm,12.7010mm,Top,90
USBC2,28.5510mm,18.2051mm,Top,270
C90,36.5000mm,43.0000mm,Bottom,270
Y3,30.5000mm,35.5000mm,Top,0
Y2,38.7192mm,23.2616mm,Top,0
Y1,42.6732mm,23.1466mm,Top,180
USBC1,55.8340mm,20.4315mm,Top,90
U17,37.5966mm,31.9224mm,Bottom,180
U16,28.6139mm,7.4129mm,Top,270
U15,44.6206mm,37.3630mm,Bottom,0
U14,48.0000mm,30.0000mm,Bottom,0
U13,57.5657mm,3.0876mm,Top,0
U10,51.9250mm,43.0000mm,Bottom,0
U8,46.9250mm,43.0000mm,Bottom,0
U7,57.5602mm,42.6306mm,Bottom,180
U6,57.5152mm,36.4946mm,Bottom,180
U5,52.7777mm,36.5161mm,Bottom,0
U3,43.1243mm,14.3251mm,Top,0
U2,35.0356mm,13.1283mm,Top,180
U1,56.1000mm,29.7500mm,Top,180
R74,34.9490mm,31.2668mm,Bottom,270
R73,38.1551mm,29.3134mm,Bottom,0
R71,43.7993mm,44.8230mm,Top,90
R70,25.4376mm,43.0951mm,Top,0
R69,49.6029mm,42.0493mm,Bottom,90
R68,42.4614mm,37.5037mm,Bottom,270
R67,45.8201mm,32.9964mm,Top,0
R66,45.7059mm,30.2646mm,Bottom,270
R65,25.4267mm,44.4471mm,Top,0
R64,36.8306mm,17.6412mm,Bottom,90
R63,38.1454mm,13.3519mm,Bottom,180
R62,38.4697mm,14.6665mm,Bottom,180
R61,36.0061mm,24.5712mm,Bottom,90
R60,43.3000mm,26.2561mm,Top,0
R59,36.0061mm,26.4964mm,Bottom,90
R58,37.5061mm,26.4964mm,Bottom,90
R56,49.7943mm,43.7843mm,Bottom,90
R55,44.5512mm,42.1095mm,Bottom,90
R53,36.5980mm,15.2313mm,Bottom,180
R51,54.9898mm,39.5226mm,Bottom,180
R50,44.7911mm,43.8378mm,Bottom,90
R49,59.0163mm,38.7136mm,Bottom,180
R48,42.8196mm,19.7133mm,Bottom,90
R47,44.3784mm,20.0276mm,Bottom,0
R46,44.8637mm,21.0306mm,Bottom,180
R45,42.2714mm,21.3689mm,Bottom,0
R42,32.7390mm,8.8558mm,Top,180
R41,29.9285mm,3.5061mm,Bottom,180
R40,27.9689mm,10.6535mm,Bottom,270
R39,30.4939mm,10.6535mm,Bottom,270
R37,50.4036mm,10.3189mm,Top,180
R36,42.0249mm,42.8789mm,Top,90
R34,43.3932mm,42.8789mm,Top,90
R33,45.9363mm,20.0358mm,Bottom,0
R31,36.8306mm,19.9689mm,Bottom,90
R30,38.5149mm,36.9022mm,Top,180
R29,59.0362mm,44.9290mm,Bottom,180
R27,49.6893mm,40.4714mm,Top,180
R26,57.4767mm,44.9201mm,Bottom,180
R25,57.3827mm,38.7359mm,Bottom,180
R24,50.4157mm,35.8088mm,Bottom,90
R23,42.1378mm,44.7905mm,Top,90
R22,50.6907mm,37.5002mm,Bottom,90
