Altium Designer Pick and Place Locations
C:\hw\LEAKCAM\Project Outputs for LEAKCAM\Pick Place for MIFA.csv

========================================================================================================================
File Design Information:

Date:       24/09/26
Time:       19:26
Revision:   2b8335e65faaf93c505752e9dbd735af0ed1dd77
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"CB2","100n 0201","BottomLayer","CAP_0201","1493.462","448.611","180","C2903663"
"CB1","10uF GRM188R61A106ME69D","BottomLayer","FP-GRM188-0_15-MFG","1351.134","423.159","180","C19702"
"LED15","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","807.087","1417.323","270","C19185834"
"LED13","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","807.087","1220.522","90","C3646951"
"LED11","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","570.866","1417.323","270","C19185834"
"LED9","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","570.866","1220.522","90","C3646951"
"LED7","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","334.646","1417.323","270","C19185834"
"LED5","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","334.646","1220.522","90","C3646951"
"LED3","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","98.425","1417.323","270","C19185834"
"LED2","xl-hd3535uwc-a2","TopLayer","XL-HD3535UWC-A2","98.425","1220.522","90","C3646951"
"J12","Connector 2PIn","TopLayer","CON_2P","866.228","1764.522","270",""
"J11","Connector 2PIn","TopLayer","CON_2P","748.118","1764.522","270",""
"J10","Connector 2PIn","TopLayer","CON_2P","630.008","1764.522","270",""
"J9","Connector 2PIn","TopLayer","CON_2P","511.897","1764.522","270",""
"J8","Connector 2PIn","TopLayer","CON_2P","393.787","1764.522","270",""
"J7","Connector 2PIn","TopLayer","CON_2P","275.667","1764.522","270",""
"J6","Connector 2PIn","TopLayer","CON_2P","157.567","1764.522","270",""
"J3","Connector 2PIn","TopLayer","CON_2P","39.447","1764.522","270",""
"LED16","jnj-ltji0112w120/35mil/845-860nm","TopLayer","JNJ-LTJI0112W120","98.425","2283.465","90","C19185834"
