Altium Designer Pick and Place Locations
C:\hw\LEAKCAM\Project Outputs for LEAKCAM\Pick Place for MIFA.txt

========================================================================================================================
File Design Information:

Date:       15/09/26
Time:       23:58
Revision:   128551a5bb2a5a55905f7d5e2d8d187e3d06636b
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                       
C90        "10uF GRM188R61A106ME69D" BottomLayer FP-GRM188-0_15-MFG              492.126       1692.913      270      C5137565                                                                                                                                                                                                                                                          
JT         "Connector 2PIn"          TopLayer    CON_2P                          1388.643      1057.356      270      ""                                                                                                                                                                                                                                                                
JB2        "Connector 2PIn"          TopLayer    CON_2P                          1388.160      1174.776      270      ""                                                                                                                                                                                                                                                                
JB1        "Connector 2PIn"          TopLayer    CON_2P                          1387.527      1322.984      90       ""                                                                                                                                                                                                                                                                
J1         "Connector 2PIn"          TopLayer    CON_2P                          767.630       1140.990      90       ""                                                                                                                                                                                                                                                                
J2         "Connector 2PIn"          TopLayer    CON_2P                          751.683       1339.997      180      ""                                                                                                                                                                                                                                                                
Y3         ABS07-32.768KHZ-T         TopLayer    FP-ABS07-MFG                    255.905       1397.638      0        C130253                                                                                                                                                                                                                                                           
Y2         XL7EL89CKI-111YLC-24M     TopLayer    FP-XRCGB_F_N-MFG                579.494       915.812       0        C2965580                                                                                                                                                                                                                                                          
Y1         ABS07-32.768KHZ-T         TopLayer    FP-ABS07-MFG                    735.165       911.285       180      C130253                                                                                                                                                                                                                                                           
USBC2      type-c-31-m-12            TopLayer    TYPE-C-31-M-12                  218.535       716.738       270      C165948                                                                                                                                                                                                                                                           
USBC1      type-c-31-m-12            TopLayer    TYPE-C-31-M-12                  1213.934      804.391       90       C165948                                                                                                                                                                                                                                                           
U17        aht30                     BottomLayer AHT30                           535.301       1256.788      180      C45354925                                                                                                                                                                                                                                                         
U16        w25n02kvzeir              TopLayer    w25n02                          181.648       291.845       270      C3010298                                                                                                                                                                                                                                                          
U15        TPS61160ADRVT             BottomLayer TPS61160ADRVT                   811.835       1470.986      0        C2867168                                                                                                                                                                                                                                                          
U14        TPS61160ADRVT             BottomLayer TPS61160ADRVT                   944.882       1181.102      0        C2867168                                                                                                                                                                                                                                                          
U13        msm381acb026              TopLayer    mems                            1321.483      121.560       0        C51928208                                                                                                                                                                                                                                                         
U11        ai-m62-cbs(blifn4)        TopLayer    AI-M62-CBS                      382.701       1780.217      270      C41368035                                                                                                                                                                                                                                                         
U10        TPS63802DLAR              BottomLayer FP-DLA0010A-MFG                 1099.409      1692.913      0        C2845237                                                                                                                                                                                                                                                          
U8         TPS63802DLAR              BottomLayer FP-DLA0010A-MFG                 902.559       1692.913      0        C2845237                                                                                                                                                                                                                                                          
U7         TPS62823DLCR              BottomLayer FP-DLC0008A-MFG                 1321.270      1678.372      180      C2693497                                                                                                                                                                                                                                                          
U6         TPS62823DLCR              BottomLayer FP-DLC0008A-MFG                 1319.497      1436.794      180      C2693497                                                                                                                                                                                                                                                          
U5         TPS63802DLAR              BottomLayer FP-DLA0010A-MFG                 1132.979      1437.643      0        C2845237                                                                                                                                                                                                                                                          
U3         k230d                     TopLayer    K230D                           752.926       563.981       0        C42414902                                                                                                                                                                                                                                                         
U2         ch340x                    TopLayer    ch340x                          434.471       516.861       180      C3035748                                                                                                                                                                                                                                                          
